task_id,subject,solver,role,condition,replay,absolute_innovations,standardized_innovations
v3_assessment__S4_synthetic__synthetic__process__q_high__3__O2__8__baseline,synthetic__process__q_high__3,O2,baseline,"{""id"": ""q_high"", ""law"": ""nonlinear_gaussian"", ""sigma_h"": 2.0}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.005452137364719609, 0.0018794259155168187], ""gap_nrmse_training_sd"": [0.0, 0.06559153796913951, 0.06270353538779955], ""nfev"": 18518, ""method"": ""DOP853""}","[0.02109077542396184, 0.0003300525665555154, 0.0001461117011676717, 0.0002213425760113512, 0.00035723174031816187, 0.00019712379538338673]","[0.527269385599046, 0.06601051331110308, 0.0487039003892239, 0.11067128800567559, 0.17861587015908093, 0.09856189769169336]"
v3_assessment__S4_synthetic__synthetic__process__q_high__3__O2__12__baseline,synthetic__process__q_high__3,O2,baseline,"{""id"": ""q_high"", ""law"": ""nonlinear_gaussian"", ""sigma_h"": 2.0}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.008653338722032354, 0.0022576023933611133], ""gap_nrmse_training_sd"": [0.0, 0.10410335568924169, 0.07532068723484234], ""nfev"": 18554, ""method"": ""DOP853""}","[0.021942917359214675, 0.0004133116867842386, 0.0002018947613592989, 0.00018615704150200076, 0.00039298455041564587, 0.00014838713628956163]","[0.5485729339803669, 0.08266233735684772, 0.06729825378643296, 0.09307852075100037, 0.19649227520782292, 0.07419356814478081]"
v3_assessment__S4_synthetic__synthetic__process__q_high__3__O2__16__baseline,synthetic__process__q_high__3,O2,baseline,"{""id"": ""q_high"", ""law"": ""nonlinear_gaussian"", ""sigma_h"": 2.0}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.006587796542241377, 0.0015354414920251782], ""gap_nrmse_training_sd"": [0.0, 0.07925400226148067, 0.05122713757228432], ""nfev"": 17066, ""method"": ""DOP853""}","[0.01965580755834042, 0.0003410068874957767, 0.0001670010858642244, 0.00018721563691329613, 0.0003186092024221324, 0.00018252404077443297]","[0.4913951889585105, 0.06820137749915534, 0.055667028621408134, 0.09360781845664806, 0.1593046012110662, 0.09126202038721648]"
v3_assessment__S4_synthetic__synthetic__process__q_high__3__O2__20__baseline,synthetic__process__q_high__3,O2,baseline,"{""id"": ""q_high"", ""law"": ""nonlinear_gaussian"", ""sigma_h"": 2.0}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.004958231593900717, 0.0017966051267001317], ""gap_nrmse_training_sd"": [0.0, 0.05964964088314954, 0.05994037445682741], ""nfev"": 17870, ""method"": ""DOP853""}","[0.020761672042173305, 0.00037243309327714705, 0.00023200089198756332, 0.00029262059917166937, 0.00048701366342128525, 0.00021074770444638713]","[0.5190418010543326, 0.07448661865542941, 0.07733363066252111, 0.1463102995858347, 0.24350683171064263, 0.10537385222319356]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O0__0__baseline,synthetic__process__student_t__0,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.014660007629781063, 0.003478948852610755], ""gap_nrmse_training_sd"": [0.0, 0.15204562384486195, 0.09913830526765788], ""nfev"": 19082, ""method"": ""DOP853""}","[0.017124513242708105, 0.0013327867413124221, 0.0020863728588987576, 0.0005988421370343777, 0.00048755672337435287, 0.000428972771476606]","[0.4281128310677026, 0.2665573482624844, 0.6954576196329192, 0.29942106851718886, 0.24377836168717643, 0.214486385738303]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O0__4__baseline,synthetic__process__student_t__0,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.008020540222733673, 0.003378587225238556], ""gap_nrmse_training_sd"": [0.0, 0.08318467988113602, 0.09627833748051513], ""nfev"": 18182, ""method"": ""DOP853""}","[0.016036397302016843, 0.0008332001235780572, 0.0021083504537372255, 0.0004717641836442001, 0.0003092416055113574, 0.0006220986440203851]","[0.40090993255042107, 0.16664002471561143, 0.7027834845790751, 0.23588209182210004, 0.1546208027556787, 0.31104932201019253]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O0__8__baseline,synthetic__process__student_t__0,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.0055039324201557925, 0.0017773169851599126], ""gap_nrmse_training_sd"": [0.0, 0.05708379282985721, 0.050647537890632824], ""nfev"": 19130, ""method"": ""DOP853""}","[0.015423866839370234, 0.0003111904160723355, 0.00017129808532107696, 0.0004441422280808946, 0.0004113347573686311, 0.0003466497508630134]","[0.3855966709842559, 0.062238083214467096, 0.05709936177369232, 0.22207111404044727, 0.20566737868431553, 0.1733248754315067]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O0__12__baseline,synthetic__process__student_t__0,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.013438709108118375, 0.0026869544256687863], ""gap_nrmse_training_sd"": [0.0, 0.13937897998515583, 0.07656913607463164], ""nfev"": 18758, ""method"": ""DOP853""}","[0.017579585868840928, 0.001087682593822078, 0.0014308554947904137, 0.0008152796935920518, 0.0007747868509312449, 0.0004738901937897916]","[0.4394896467210232, 0.2175365187644156, 0.47695183159680454, 0.4076398467960259, 0.38739342546562244, 0.2369450968948958]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O0__16__baseline,synthetic__process__student_t__0,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.016009097735817678, 0.008722422215218848], ""gap_nrmse_training_sd"": [0.0, 0.16603765249691876, 0.24855960604216376], ""nfev"": 18302, ""method"": ""DOP853""}","[0.018202556887545226, 0.0011105263604945076, 0.0028519908440017335, 0.0004500009665019952, 0.0007648684337397369, 0.00030058496456905533]","[0.4550639221886307, 0.22210527209890152, 0.9506636146672445, 0.22500048325099758, 0.38243421686986845, 0.15029248228452766]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O0__20__baseline,synthetic__process__student_t__0,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.007050025986196752, 0.0037826587430533787], ""gap_nrmse_training_sd"": [0.0, 0.07311903419587659, 0.10779301251031034], ""nfev"": 18686, ""method"": ""DOP853""}","[0.016897426569770016, 0.000790654145108503, 0.0013540402965554416, 0.0006257917846599782, 0.0004245796038350463, 0.000671112673796779]","[0.4224356642442504, 0.15813082902170061, 0.4513467655184805, 0.3128958923299891, 0.21228980191752317, 0.3355563368983895]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O2__0__baseline,synthetic__process__student_t__0,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.008045324586632438, 0.002004016365598149], ""gap_nrmse_training_sd"": [0.0, 0.08344172982038234, 0.05710770541077583], ""nfev"": 18602, ""method"": ""DOP853""}","[0.020066047414744007, 0.0005057451647453966, 0.0001858338668163521, 0.0001985785207896854, 0.00036826413507929333, 0.00020787398514177403]","[0.5016511853686002, 0.10114903294907933, 0.06194462227211736, 0.09928926039484269, 0.18413206753964667, 0.10393699257088701]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O2__4__baseline,synthetic__process__student_t__0,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.006385936444323131, 0.001717782595363586], ""gap_nrmse_training_sd"": [0.0, 0.0662314587434666, 0.04895100863435395], ""nfev"": 18038, ""method"": ""DOP853""}","[0.016600354159029534, 0.00033979276789588105, 0.00017287614254985986, 0.00022372088701174618, 0.0004367978961719592, 0.0002095712105721105]","[0.41500885397573833, 0.06795855357917621, 0.057625380849953285, 0.11186044350587308, 0.2183989480859796, 0.10478560528605525]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O2__8__baseline,synthetic__process__student_t__0,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.003882624045464202, 0.0016307512979011388], ""gap_nrmse_training_sd"": [0.0, 0.04026846438663705, 0.04647091027671426], ""nfev"": 18134, ""method"": ""DOP853""}","[0.01568568421167898, 0.0003642431675974685, 0.00016126759642237163, 0.0002016914540062468, 0.00034743112423180994, 0.00019819926863005077]","[0.3921421052919745, 0.0728486335194937, 0.05375586547412387, 0.1008457270031234, 0.17371556211590497, 0.09909963431502539]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O2__12__baseline,synthetic__process__student_t__0,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.00674818556953989, 0.0019395249892905006], ""gap_nrmse_training_sd"": [0.0, 0.06998850960058543, 0.055269918762455024], ""nfev"": 18050, ""method"": ""DOP853""}","[0.01777622200594971, 0.00031185412658004194, 0.00019787631858990867, 0.0002313398963283152, 0.0004439648074744003, 0.00017590440593445592]","[0.4444055501487428, 0.062370825316008384, 0.06595877286330289, 0.1156699481641576, 0.22198240373720016, 0.08795220296722796]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O2__16__baseline,synthetic__process__student_t__0,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.005850736155869236, 0.0015515012180257175], ""gap_nrmse_training_sd"": [0.0, 0.06068065250959987, 0.044212550368582876], ""nfev"": 14666, ""method"": ""DOP853""}","[0.01905778295819159, 0.00037848600606666126, 0.00018142718911615298, 0.00018393247731882069, 0.00035051425178205594, 0.00018602358996224665]","[0.4764445739547898, 0.07569720121333225, 0.060475729705384326, 0.09196623865941034, 0.17525712589102796, 0.09301179498112332]"
v3_assessment__S4_synthetic__synthetic__process__student_t__0__O2__20__baseline,synthetic__process__student_t__0,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.0062040512626168704, 0.002139509909805378], ""gap_nrmse_training_sd"": [0.0, 0.06434504458741357, 0.06096881430213903], ""nfev"": 12278, ""method"": ""DOP853""}","[0.016498821000513215, 0.0003627859291889916, 0.0001514672357219447, 0.00018080794293333642, 0.0003425646668108787, 0.00021240521285808276]","[0.4124705250128304, 0.07255718583779833, 0.05048907857398156, 0.0904039714666682, 0.17128233340543936, 0.10620260642904138]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O0__0__baseline,synthetic__process__student_t__1,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.004795930838788563, 0.0047565877672548435], ""gap_nrmse_training_sd"": [0.0, 0.05822909246649063, 0.16516029113639524], ""nfev"": 18590, ""method"": ""DOP853""}","[0.01594409069562741, 0.0006421287824209034, 0.0006251185670846897, 0.0005557009796596747, 0.0005376728499742759, 0.000371375775752056]","[0.39860226739068527, 0.12842575648418067, 0.20837285569489655, 0.27785048982983734, 0.26883642498713795, 0.185687887876028]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O0__4__baseline,synthetic__process__student_t__1,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.006445158747651478, 0.002603377836850308], ""gap_nrmse_training_sd"": [0.0, 0.07825295178214191, 0.09039560763122127], ""nfev"": 18722, ""method"": ""DOP853""}","[0.017772988103979113, 0.00040473658334900625, 0.00023750698708399447, 0.00021746699947750646, 0.00024753189021763274, 0.00016824136790232285]","[0.4443247025994778, 0.08094731666980125, 0.07916899569466482, 0.10873349973875322, 0.12376594510881636, 0.08412068395116143]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O0__8__baseline,synthetic__process__student_t__1,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.012928464564574907, 0.0063890814560108615], ""gap_nrmse_training_sd"": [0.0, 0.15696906062359686, 0.2218444408054927], ""nfev"": 19070, ""method"": ""DOP853""}","[0.018661730079872686, 0.0011864216469635307, 0.0018253654594218116, 0.00031310055752797156, 0.0004656362219495314, 0.0002550722852795955]","[0.4665432519968171, 0.23728432939270613, 0.6084551531406038, 0.15655027876398578, 0.2328181109747657, 0.12753614263979773]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O0__12__baseline,synthetic__process__student_t__1,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.0067198521098058945, 0.004077985678601934], ""gap_nrmse_training_sd"": [0.0, 0.08158810104147965, 0.14159757685216712], ""nfev"": 18602, ""method"": ""DOP853""}","[0.021714105215287584, 0.0003220230101975185, 0.0004612323981410108, 0.00036892101029025696, 0.0003689142966952066, 0.0002738018691801435]","[0.5428526303821896, 0.0644046020395037, 0.15374413271367027, 0.18446050514512846, 0.1844571483476033, 0.13690093459007174]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O0__16__baseline,synthetic__process__student_t__1,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.007003090013414174, 0.0017336951822221776], ""gap_nrmse_training_sd"": [0.0, 0.08502699260051379, 0.06019811155567805], ""nfev"": 18458, ""method"": ""DOP853""}","[0.01703657520440575, 0.00039153548559160543, 0.0002587455991434952, 0.0003669206480144352, 0.00042729362701021234, 0.00023534963790983461]","[0.42591438011014376, 0.07830709711832108, 0.08624853304783173, 0.1834603240072176, 0.21364681350510617, 0.1176748189549173]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O0__20__baseline,synthetic__process__student_t__1,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.014597793383871517, 0.0043603661047490585], ""gap_nrmse_training_sd"": [0.0, 0.17723697220181162, 0.15140251174998243], ""nfev"": 19550, ""method"": ""DOP853""}","[0.019031070893249777, 0.0019996546998247234, 0.0029406378897179467, 0.0004295541274337605, 0.000701037397803673, 0.00032307620831058346]","[0.47577677233124444, 0.39993093996494467, 0.9802126299059822, 0.21477706371688024, 0.35051869890183646, 0.16153810415529174]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O2__0__baseline,synthetic__process__student_t__1,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.004394860608056605, 0.0015365714685340178], ""gap_nrmse_training_sd"": [0.0, 0.05335955695068092, 0.053353496984124914], ""nfev"": 17570, ""method"": ""DOP853""}","[0.017049871881657415, 0.0003334014778524054, 0.00018604727487892824, 0.00020415470690439435, 0.000407092095109665, 0.00019995567241152398]","[0.42624679704143537, 0.06668029557048108, 0.06201575829297608, 0.10207735345219718, 0.2035460475548325, 0.09997783620576199]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O2__4__baseline,synthetic__process__student_t__1,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.004560722058333997, 0.0018340760106450365], ""gap_nrmse_training_sd"": [0.0, 0.05537333947788436, 0.06368357795681628], ""nfev"": 18626, ""method"": ""DOP853""}","[0.0167274734997895, 0.00033744350753360037, 0.00019818019899562852, 0.0002045232682584743, 0.0004569068644459084, 0.00013780074217689545]","[0.4181868374947375, 0.06748870150672007, 0.06606006633187617, 0.10226163412923714, 0.2284534322229542, 0.06890037108844772]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O2__8__baseline,synthetic__process__student_t__1,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.006596939907682811, 0.0020965266475585333], ""gap_nrmse_training_sd"": [0.0, 0.08009578052576245, 0.07279650212064012], ""nfev"": 18446, ""method"": ""DOP853""}","[0.019194332884123665, 0.00037178333033674633, 0.0001441600360761462, 0.00018231254075527824, 0.00036697821466509083, 0.00019367136832011158]","[0.4798583221030916, 0.07435666606734927, 0.048053345358715395, 0.09115627037763911, 0.18348910733254542, 0.09683568416005578]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O2__12__baseline,synthetic__process__student_t__1,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.00586558223497109, 0.0019925070436836593], ""gap_nrmse_training_sd"": [0.0, 0.07121610836577663, 0.06918468858949156], ""nfev"": 18410, ""method"": ""DOP853""}","[0.0238154259512782, 0.00037377128374521174, 0.0001755276957860691, 0.00023457505863348012, 0.0004045354098755691, 0.00019332856462938797]","[0.595385648781955, 0.07475425674904235, 0.058509231928689696, 0.11728752931674005, 0.20226770493778456, 0.09666428231469398]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O2__16__baseline,synthetic__process__student_t__1,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.00579457978787874, 0.0016606754282418026], ""gap_nrmse_training_sd"": [0.0, 0.07035404254454976, 0.05766268817736271], ""nfev"": 17942, ""method"": ""DOP853""}","[0.018082144989675593, 0.0003478701039402122, 0.00018739550579451223, 0.00024877400976825305, 0.00045815874649837783, 0.00021815488048671148]","[0.4520536247418898, 0.06957402078804244, 0.062465168598170744, 0.12438700488412652, 0.22907937324918892, 0.10907744024335574]"
v3_assessment__S4_synthetic__synthetic__process__student_t__1__O2__20__baseline,synthetic__process__student_t__1,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.006745256260120698, 0.0013639581803276011], ""gap_nrmse_training_sd"": [0.0, 0.08189654181500987, 0.04735994397319508], ""nfev"": 18110, ""method"": ""DOP853""}","[0.01756333699537818, 0.00034009360239202886, 0.00015697085890058632, 0.00023559771646563784, 0.0003669930340331065, 0.00024166221836575722]","[0.4390834248844545, 0.06801872047840576, 0.05232361963352877, 0.11779885823281891, 0.18349651701655326, 0.12083110918287861]"
v3_assessment__S4_synthetic__synthetic__process__student_t__2__O0__0__baseline,synthetic__process__student_t__2,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.004312873428915352, 0.00400176066340325], ""gap_nrmse_training_sd"": [0.0, 0.039140239435109664, 0.1150393736981302], ""nfev"": 18902, ""method"": ""DOP853""}","[0.013696681537612833, 0.0007604310683178025, 0.0009832129736881217, 0.000608478924485092, 0.0006403328728684095, 0.0003804523206713568]","[0.34241703844032084, 0.15208621366356048, 0.32773765789604054, 0.304239462242546, 0.3201664364342047, 0.1902261603356784]"
v3_assessment__S4_synthetic__synthetic__process__student_t__2__O0__4__baseline,synthetic__process__student_t__2,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.006771722706868227, 0.0034212052706424374], ""gap_nrmse_training_sd"": [0.0, 0.061454817189394814, 0.09835003757889366], ""nfev"": 19490, ""method"": ""DOP853""}","[0.015361619518539586, 0.00025707750098617125, 0.00014042100988002193, 0.000735238544314971, 0.000697478193076772, 0.0005073493111213308]","[0.38404048796348966, 0.05141550019723425, 0.04680700329334064, 0.36761927215748547, 0.348739096538386, 0.2536746555606654]"
v3_assessment__S4_synthetic__synthetic__process__student_t__2__O0__8__baseline,synthetic__process__student_t__2,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.015170558125666374, 0.009190352379223539], ""gap_nrmse_training_sd"": [0.0, 0.1376760267115375, 0.2641968050312806], ""nfev"": 18098, ""method"": ""DOP853""}","[0.020743225002874073, 0.001443821881863071, 0.003088709477705626, 0.000665858718405113, 0.0010201022094579822, 0.0003727800939591768]","[0.5185806250718518, 0.2887643763726142, 1.0295698259018753, 0.3329293592025565, 0.5100511047289911, 0.1863900469795884]"
v3_assessment__S4_synthetic__synthetic__process__student_t__2__O0__12__baseline,synthetic__process__student_t__2,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.008252497004065738, 0.003908701577475687], ""gap_nrmse_training_sd"": [0.0, 0.0748931574275044, 0.1123641864836797], ""nfev"": 17330, ""method"": ""DOP853""}","[0.0174639921574981, 0.0006798044610528553, 0.0008174181551477388, 0.0005239414322360765, 0.0005440589415123795, 0.0003401817651198294]","[0.43659980393745246, 0.13596089221057106, 0.2724727183825796, 0.26197071611803824, 0.2720294707561897, 0.1700908825599147]"
v3_assessment__S4_synthetic__synthetic__process__student_t__2__O0__16__baseline,synthetic__process__student_t__2,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.014965751654896334, 0.006923524868690639], ""gap_nrmse_training_sd"": [0.0, 0.13581736463023103, 0.19903188413078282], ""nfev"": 17558, ""method"": ""DOP853""}","[0.019030913873217373, 0.0016876650562143271, 0.00334528606384431, 0.0004739237581018668, 0.0007842459136087252, 0.000329345292011554]","[0.4757728468304343, 0.3375330112428654, 1.11509535461477, 0.23696187905093338, 0.3921229568043626, 0.164672646005777]"
v3_assessment__S4_synthetic__synthetic__process__student_t__2__O0__20__baseline,synthetic__process__student_t__2,O0,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.005644686569582384, 0.00224455229616273], ""gap_nrmse_training_sd"": [0.0, 0.051226725641509326, 0.06452457108308604], ""nfev"": 19490, ""method"": ""DOP853""}","[0.01706293336110222, 0.0003974002437966329, 0.0005141575025361612, 0.0001627325651814157, 0.00021827503424612626, 0.00022181655740871904]","[0.4265733340275555, 0.07948004875932659, 0.17138583417872041, 0.08136628259070786, 0.10913751712306313, 0.11090827870435951]"
v3_assessment__S4_synthetic__synthetic__process__student_t__2__O2__0__baseline,synthetic__process__student_t__2,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.004450721289460176, 0.0021253741931737315], ""gap_nrmse_training_sd"": [0.0, 0.04039123795298152, 0.06109853552534581], ""nfev"": 17786, ""method"": ""DOP853""}","[0.01293921279767019, 0.00035431420649205235, 0.0001599680538619661, 0.00033351130935747425, 0.00046534160643589757, 0.00030055679882984434]","[0.32348031994175475, 0.07086284129841047, 0.05332268462065536, 0.16675565467873713, 0.23267080321794878, 0.15027839941492216]"
v3_assessment__S4_synthetic__synthetic__process__student_t__2__O2__4__baseline,synthetic__process__student_t__2,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.005299039157482483, 0.001567727789644129], ""gap_nrmse_training_sd"": [0.0, 0.0480899022005491, 0.04506776846980093], ""nfev"": 18242, ""method"": ""DOP853""}","[0.016608760446334206, 0.00031216355931668657, 0.00019595355371850376, 0.0002185807674736017, 0.00042191207101939136, 0.00018178977443637477]","[0.41521901115835513, 0.06243271186333731, 0.06531785123950125, 0.10929038373680085, 0.2109560355096957, 0.09089488721818738]"
v3_assessment__S4_synthetic__synthetic__process__student_t__2__O2__8__baseline,synthetic__process__student_t__2,O2,baseline,"{""id"": ""student_t"", ""law"": ""nonlinear_student_t""}","{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.006102747159954378, 0.0018496051497016515], ""gap_nrmse_training_sd"": [0.0, 0.05538372247400306, 0.05317095046597822], ""nfev"": 17138, ""method"": ""DOP853""}","[0.021562789402976887, 0.0004842978335410456, 0.00028883927802584317, 0.00026547254080875883, 0.0005432009581002197, 0.0001536347873874199]","[0.5390697350744221, 0.09685956670820912, 0.09627975934194773, 0.1327362704043794, 0.2716004790501098, 0.07681739369370995]"
